request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_190,910.67,affordable_later,wait,2025-01-15:2557.5,2025-01-15,none,"Pay EUR 2,557.5 in full on 2025-01-15. Paying earlier would risk the EUR 2,119.95 minimum."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. This leaves at least EUR 656.50 available.
request_192,220.45,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. None of the available options keeps the USD 1,000 minimum protected."
request_193,211.39,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,211.39 available."
request_194,47772.37,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 2025-10-23. Paying earlier would risk the INR 161,372.37 minimum."
request_195,1102.36,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 1,396.62 available."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. This leaves at least EUR 696.34 available.
request_197,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 178,645.64 available."
request_199,23674000.00,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. This leaves at least IDR 76,154,545.52 available."
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 25,527,924.62 available."
request_201,23997000.00,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 28,721,149.71 available."
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 184,829.54 available."
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 5,022.12 available."
request_204,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-31. None of the available options keeps the EUR 1,300 minimum protected."
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 17,512,256.48 available."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 3,226.64 available."
request_207,6737.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 2026-07-15. Paying earlier would risk the ZAR 20,337.41 minimum."
request_208,4413000.00,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,"Pay IDR 4,413,000 today. This leaves at least IDR 10,541,048.02 available."
request_209,3034.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,1260.94,affordable_with_plan,partial_payment,2026-04-06:1260.94|2026-04-15:99.08,2026-04-15,none,"Pay USD 1,260.94 today and USD 99.08 on 2026-04-15. This completes the USD 1,360.02 payment by 2026-04-15 and leaves at least USD 2,000.00 available."
request_211,574.04,affordable_later,wait,2024-10-15:1788.6,2024-10-15,none,"Pay EUR 1,788.6 in full on 2024-10-15. Paying earlier would risk the EUR 2,074.04 minimum."
request_212,7756515.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 2026-01-21. This leaves at least USD 3,721.54 available."
request_214,69750.00,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,"Use 2 installments of INR 36,270, starting 2024-12-04. This leaves at least INR 212,109.01 available."
request_215,29986.00,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. This leaves at least ZAR 44,056.73 available."
request_216,710.77,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,"Pay USD 3,332.4 in full on 2026-08-15. Paying earlier would risk the USD 2,249.03 minimum."
request_217,23028.54,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-04-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. This leaves at least ZAR 49,828.54 available."
request_218,26419759.72,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. This leaves at least IDR 39,701,066.39 available."
request_219,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-13. None of the available options keeps the EUR 1,100 minimum protected."
request_220,209.84,not_affordable,not_recommended,none,2024-08-15,none,"Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 109,798.30 available."
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 79,991.6 available."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"Pay EUR 898.7 today. This leaves at least EUR 1,049.95 available."
request_224,10327000.00,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040, starting 2025-02-04. This leaves at least IDR 32,342,460 available."
request_225,12053608.00,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,"Use 3 installments of IDR 7,647,120, starting 2026-07-20. This leaves at least IDR 29,724,308.0 available."
request_226,157000.00,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 273,606.05 available."
request_227,12861.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. None of the available options keeps the INR 62,900 minimum protected."
request_228,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1,550.76 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.6 today. This leaves at least EUR 4,136.38 available."
request_231,35706.00,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. This leaves at least ZAR 52,441.60 available."
request_232,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,322.98,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Pay EUR 1,213.3 in full on 2026-08-15. Paying earlier would risk the EUR 947.78 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. This leaves at least USD 949.69 available.
request_236,7443718.01,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,23826000.00,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 31,949,668.60 available."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 1,526.31 available."
request_239,217.64,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-05-24. None of the available options keeps the USD 600 minimum protected.
request_240,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000.00,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17. This leaves at least IDR 25,918,359.10 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 26,012.68 available."
request_244,49918.00,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 65,608.29 available."
request_245,41863.61,affordable_later,wait,2025-12-15:128500,2025-12-15,none,"Pay INR 128,500 in full on 2025-12-15. Paying earlier would risk the INR 136,463.61 minimum."
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. This leaves at least ZAR 54,736.22 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.3 today. This leaves at least EUR 1,588.61 available."
request_248,1026.80,affordable_with_plan,partial_payment,2025-02-07:1026.80|2025-03-15:938.80,2025-03-15,none,"Pay USD 1,026.80 today and USD 938.80 on 2025-03-15. This completes the USD 1,965.6 payment by 2025-03-15 and leaves at least USD 1,300.00 available."
request_249,214.02,affordable_later,wait,2026-02-15:643.2,2026-02-15,none,Pay USD 643.2 in full on 2026-02-15. Paying earlier would risk the USD 797.36 minimum.
request_250,17762.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1,300 minimum protected."
request_252,6707759.63,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Pay IDR 28,082,000 in full on 2026-08-15. Paying earlier would risk the IDR 19,277,315.11 minimum."
request_253,1636.96,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-04-15,none,"Use 3 installments of EUR 984.6, starting 2024-03-21. This leaves at least EUR 3,936.96 available."
request_254,714.43,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Pay USD 3,535.2 in full on 2025-09-15. Paying earlier would risk the USD 2,619.79 minimum."
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 12,361,672.39 available."
request_256,138521.54,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-19. None of the available options keeps the INR 168,600 minimum protected."
request_257,644.06,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Pay USD 1,352.4 in full on 2025-11-15. Paying earlier would risk the USD 1,688.25 minimum."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.6 today. This leaves at least USD 1,306.50 available."
request_259,248.96,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would risk the EUR 848.96 minimum.
request_260,11127008.47,affordable_with_plan,partial_payment,2025-02-06:11127008.47|2025-03-15:40951991.53,2025-03-15,none,"Pay IDR 11,127,008.47 today and IDR 40,951,991.53 on 2025-03-15. This completes the IDR 52,079,000 payment by 2025-03-15 and leaves at least IDR 20,727,700.00 available."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.4 today. This leaves at least EUR 2,055.84 available."
request_262,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-24. None of the available options keeps the IDR 31,018,500 minimum protected."
request_263,9323.96,affordable_with_plan,partial_payment,2025-05-07:9323.96|2025-06-15:42222.04,2025-06-15,none,"Pay ZAR 9,323.96 today and ZAR 42,222.04 on 2025-06-15. This completes the ZAR 51,546 payment by 2025-06-15 and leaves at least ZAR 24,100.00 available."
request_264,26863.74,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Pay INR 111,300 in full on 2026-05-15. Paying earlier would risk the INR 67,461.88 minimum."
request_265,45970.00,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 329,883.21 available."
request_266,839.38,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. This leaves at least EUR 1,333.51 available."
request_267,1858.55,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 2,494.5840 available."
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,693.30 available."
request_269,2808.26,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-02. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,255.68,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 2026-08-30. None of the available options keeps the USD 1,400 minimum protected."
request_271,29719.90,affordable_later,wait,2024-10-15:91300,2024-10-15,none,"Pay INR 91,300 in full on 2024-10-15. Paying earlier would risk the INR 73,953.82 minimum."
request_272,6128654.63,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. This leaves at least IDR 8,927,787.96 available."
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,"Pay IDR 10,756,514.78 today and IDR 5,104,485.22 on 2026-04-15. This completes the IDR 15,861,000 payment by 2026-04-15 and leaves at least IDR 18,774,600.00 available."
request_274,2546.71,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 3,354.6400 available."
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 15,268,573.40 available."
